Tarih,KDV,"Kurþunsuz Benzin 95 
(Ultra Force 95)","Motorin 
(Ultra Force)","Motorin 
(Eco Force)",Gazyaðý
15.04.2022,(KDV'li),19.01 TL/LT,20.28 TL/LT,20.23 TL/LT,20.6 TL/LT
16.04.2022,(KDV'li),19.01 TL/LT,22.07 TL/LT,22.02 TL/LT,20.6 TL/LT
20.04.2022,(KDV'li),19.01 TL/LT,22.07 TL/LT,22.02 TL/LT,21.77 TL/LT
22.04.2022,(KDV'li),19.01 TL/LT,22.08 TL/LT,22.03 TL/LT,21.77 TL/LT
30.04.2022,(KDV'li),20.34 TL/LT,22.09 TL/LT,22.04 TL/LT,21.77 TL/LT
06.05.2022,(KDV'li),20.34 TL/LT,22.1 TL/LT,22.05 TL/LT,23.77 TL/LT
11.05.2022,(KDV'li),21.13 TL/LT,22.1 TL/LT,22.05 TL/LT,23.77 TL/LT
14.05.2022,(KDV'li),21.13 TL/LT,22.1 TL/LT,22.05 TL/LT,22.66 TL/LT
17.05.2022,(KDV'li),22.83 TL/LT,22.1 TL/LT,22.05 TL/LT,22.66 TL/LT
18.05.2022,(KDV'li),22.83 TL/LT,22.1 TL/LT,22.05 TL/LT,22.66 TL/LT
19.05.2022,(KDV'li),23.87 TL/LT,22.1 TL/LT,22.05 TL/LT,22.66 TL/LT
21.05.2022,(KDV'li),22.87 TL/LT,22.1 TL/LT,22.05 TL/LT,22.66 TL/LT
24.05.2022,(KDV'li),22.87 TL/LT,22.1 TL/LT,22.05 TL/LT,22.66 TL/LT
27.05.2022,(KDV'li),24.32 TL/LT,23.5 TL/LT,23.45 TL/LT,22.66 TL/LT
28.05.2022,(KDV'li),25.02 TL/LT,24.47 TL/LT,24.42 TL/LT,24.34 TL/LT
01.06.2022,(KDV'li),25.02 TL/LT,24.47 TL/LT,24.42 TL/LT,25.1 TL/LT
02.06.2022,(KDV'li),26.24 TL/LT,25.96 TL/LT,25.91 TL/LT,25.85 TL/LT
04.06.2022,(KDV'li),26.24 TL/LT,25.96 TL/LT,25.91 TL/LT,25.85 TL/LT
08.06.2022,(KDV'li),26.24 TL/LT,27.91 TL/LT,27.86 TL/LT,25.85 TL/LT
09.06.2022,(KDV'li),26.24 TL/LT,27.91 TL/LT,27.86 TL/LT,27.21 TL/LT
10.06.2022,(KDV'li),26.24 TL/LT,27.91 TL/LT,27.86 TL/LT,27.21 TL/LT
11.06.2022,(KDV'li),28.45 TL/LT,27.91 TL/LT,27.86 TL/LT,28.61 TL/LT
14.06.2022,(KDV'li),28.47 TL/LT,27.92 TL/LT,27.87 TL/LT,28.61 TL/LT
15.06.2022,(KDV'li),27.52 TL/LT,27.92 TL/LT,27.87 TL/LT,28.61 TL/LT
16.06.2022,(KDV'li),27.52 TL/LT,29.21 TL/LT,29.16 TL/LT,28.61 TL/LT
17.06.2022,(KDV'li),27.52 TL/LT,30.01 TL/LT,29.96 TL/LT,28.61 TL/LT
21.06.2022,(KDV'li),27.52 TL/LT,30.01 TL/LT,29.96 TL/LT,28.61 TL/LT
23.06.2022,(KDV'li),27.27 TL/LT,30.01 TL/LT,29.96 TL/LT,28.61 TL/LT
29.06.2022,(KDV'li),27.31 TL/LT,27.53 TL/LT,27.48 TL/LT,28.61 TL/LT
30.06.2022,(KDV'li),27.31 TL/LT,26.71 TL/LT,26.66 TL/LT,25.42 TL/LT
02.07.2022,(KDV'li),25.21 TL/LT,26.71 TL/LT,26.66 TL/LT,25.42 TL/LT
07.07.2022,(KDV'li),25.21 TL/LT,26.71 TL/LT,26.66 TL/LT,23.74 TL/LT
08.07.2022,(KDV'li),25.21 TL/LT,24.63 TL/LT,24.58 TL/LT,22.94 TL/LT
09.07.2022,(KDV'li),25.21 TL/LT,25.44 TL/LT,25.39 TL/LT,23.85 TL/LT
14.07.2022,(KDV'li),23.67 TL/LT,25.44 TL/LT,25.39 TL/LT,23.85 TL/LT
15.07.2022,(KDV'li),23.67 TL/LT,25.44 TL/LT,25.39 TL/LT,23.85 TL/LT
19.07.2022,(KDV'li),22.73 TL/LT,25.45 TL/LT,25.4 TL/LT,23.85 TL/LT
21.07.2022,(KDV'li),22.73 TL/LT,25.45 TL/LT,25.4 TL/LT,23.85 TL/LT
26.07.2022,(KDV'li),22.73 TL/LT,24.55 TL/LT,24.5 TL/LT,23.85 TL/LT
27.07.2022,(KDV'li),22.26 TL/LT,24.55 TL/LT,24.5 TL/LT,23.85 TL/LT
30.07.2022,(KDV'li),22.28 TL/LT,24.57 TL/LT,24.52 TL/LT,23.85 TL/LT
02.08.2022,(KDV'li),22.28 TL/LT,24.57 TL/LT,24.52 TL/LT,23.85 TL/LT
03.08.2022,(KDV'li),22.26 TL/LT,24.55 TL/LT,24.5 TL/LT,23.85 TL/LT
06.08.2022,(KDV'li),20.04 TL/LT,23.41 TL/LT,23.36 TL/LT,23.85 TL/LT
09.08.2022,(KDV'li),20.04 TL/LT,23.41 TL/LT,23.36 TL/LT,22.58 TL/LT
10.08.2022,(KDV'li),20.05 TL/LT,22.43 TL/LT,22.38 TL/LT,21.99 TL/LT
11.08.2022,(KDV'li),20.06 TL/LT,23.25 TL/LT,23.2 TL/LT,22.63 TL/LT
13.08.2022,(KDV'li),21.17 TL/LT,23.25 TL/LT,23.2 TL/LT,22.63 TL/LT
16.08.2022,(KDV'li),21.17 TL/LT,23.25 TL/LT,23.2 TL/LT,23.95 TL/LT
18.08.2022,(KDV'li),20.34 TL/LT,24.02 TL/LT,23.97 TL/LT,23.95 TL/LT
20.08.2022,(KDV'li),20.34 TL/LT,25.1 TL/LT,25.05 TL/LT,23.95 TL/LT
23.08.2022,(KDV'li),21.16 TL/LT,25.1 TL/LT,25.05 TL/LT,23.95 TL/LT
24.08.2022,(KDV'li),21.16 TL/LT,25.1 TL/LT,25.05 TL/LT,23.95 TL/LT
25.08.2022,(KDV'li),21.16 TL/LT,26.05 TL/LT,26 TL/LT,25.43 TL/LT
26.08.2022,(KDV'li),21.18 TL/LT,26.92 TL/LT,26.87 TL/LT,26.28 TL/LT
30.08.2022,(KDV'li),20.14 TL/LT,26.92 TL/LT,26.87 TL/LT,26.28 TL/LT
02.09.2022,(KDV'li),20.14 TL/LT,26.94 TL/LT,26.89 TL/LT,26.28 TL/LT
03.09.2022,(KDV'li),18.67 TL/LT,24.54 TL/LT,24.49 TL/LT,24 TL/LT
06.09.2022,(KDV'li),19.24 TL/LT,25.24 TL/LT,25.19 TL/LT,24.61 TL/LT
07.09.2022,(KDV'li),19.24 TL/LT,26.01 TL/LT,25.96 TL/LT,24.61 TL/LT
08.09.2022,(KDV'li),19.24 TL/LT,24.88 TL/LT,24.83 TL/LT,24.61 TL/LT
09.09.2022,(KDV'li),19.24 TL/LT,24.88 TL/LT,24.83 TL/LT,24.61 TL/LT
14.09.2022,(KDV'li),19.24 TL/LT,24.88 TL/LT,24.83 TL/LT,24.61 TL/LT
15.09.2022,(KDV'li),19.24 TL/LT,24.88 TL/LT,24.83 TL/LT,24.61 TL/LT
16.09.2022,(KDV'li),19.24 TL/LT,24.88 TL/LT,24.83 TL/LT,22.86 TL/LT
17.09.2022,(KDV'li),19.24 TL/LT,24.88 TL/LT,24.83 TL/LT,21.39 TL/LT
20.09.2022,(KDV'li),19.24 TL/LT,23.14 TL/LT,23.09 TL/LT,21.39 TL/LT
22.09.2022,(KDV'li),19.24 TL/LT,23.14 TL/LT,23.09 TL/LT,22.53 TL/LT
28.09.2022,(KDV'li),19.25 TL/LT,23.14 TL/LT,23.09 TL/LT,22.53 TL/LT
30.09.2022,(KDV'li),19.25 TL/LT,23.14 TL/LT,23.09 TL/LT,22.53 TL/LT
04.10.2022,(KDV'li),19.25 TL/LT,23.14 TL/LT,23.09 TL/LT,22.53 TL/LT
05.10.2022,(KDV'li),19.87 TL/LT,24.24 TL/LT,24.19 TL/LT,22.53 TL/LT
06.10.2022,(KDV'li),20.61 TL/LT,25.63 TL/LT,25.58 TL/LT,22.53 TL/LT
07.10.2022,(KDV'li),20.61 TL/LT,27.17 TL/LT,27.12 TL/LT,22.53 TL/LT
08.10.2022,(KDV'li),20.61 TL/LT,27.17 TL/LT,27.12 TL/LT,22.53 TL/LT
11.10.2022,(KDV'li),20.61 TL/LT,28.55 TL/LT,28.5 TL/LT,25.85 TL/LT
12.10.2022,(KDV'li),20.61 TL/LT,28.55 TL/LT,28.5 TL/LT,25.03 TL/LT
13.10.2022,(KDV'li),20.61 TL/LT,26.43 TL/LT,26.38 TL/LT,23.57 TL/LT
14.10.2022,(KDV'li),20.61 TL/LT,26.43 TL/LT,26.38 TL/LT,24.89 TL/LT
15.10.2022,(KDV'li),20.63 TL/LT,27.44 TL/LT,27.39 TL/LT,24.89 TL/LT
20.10.2022,(KDV'li),20.63 TL/LT,27.44 TL/LT,27.39 TL/LT,24.89 TL/LT
22.10.2022,(KDV'li),20.64 TL/LT,26.39 TL/LT,26.34 TL/LT,23.46 TL/LT
26.10.2022,(KDV'li),20.65 TL/LT,26.4 TL/LT,26.35 TL/LT,23.46 TL/LT
27.10.2022,(KDV'li),20.66 TL/LT,26.4 TL/LT,26.35 TL/LT,23.46 TL/LT
01.11.2022,(KDV'li),21.38 TL/LT,26.4 TL/LT,26.35 TL/LT,23.46 TL/LT
02.11.2022,(KDV'li),21.38 TL/LT,26.4 TL/LT,26.35 TL/LT,23.46 TL/LT
03.11.2022,(KDV'li),21.38 TL/LT,26.4 TL/LT,26.35 TL/LT,23.46 TL/LT
04.11.2022,(KDV'li),22.69 TL/LT,26.4 TL/LT,26.35 TL/LT,23.46 TL/LT
08.11.2022,(KDV'li),22.69 TL/LT,26.4 TL/LT,26.35 TL/LT,23.46 TL/LT
10.11.2022,(KDV'li),22.69 TL/LT,26.4 TL/LT,26.35 TL/LT,24.91 TL/LT
12.11.2022,(KDV'li),22.69 TL/LT,26.4 TL/LT,26.35 TL/LT,24.91 TL/LT
15.11.2022,(KDV'li),22.69 TL/LT,24.86 TL/LT,24.81 TL/LT,24.91 TL/LT
17.11.2022,(KDV'li),21.94 TL/LT,24.86 TL/LT,24.81 TL/LT,23.89 TL/LT
19.11.2022,(KDV'li),21.2 TL/LT,24.86 TL/LT,24.81 TL/LT,23.89 TL/LT
22.11.2022,(KDV'li),21.2 TL/LT,24.86 TL/LT,24.81 TL/LT,23.89 TL/LT
23.11.2022,(KDV'li),20.08 TL/LT,24.86 TL/LT,24.81 TL/LT,23.89 TL/LT
24.11.2022,(KDV'li),20.63 TL/LT,23.91 TL/LT,23.86 TL/LT,23.89 TL/LT
25.11.2022,(KDV'li),20.17 TL/LT,23.91 TL/LT,23.86 TL/LT,23.89 TL/LT
29.11.2022,(KDV'li),20.18 TL/LT,23.1 TL/LT,23.05 TL/LT,22.64 TL/LT
30.11.2022,(KDV'li),20.18 TL/LT,22.52 TL/LT,22.47 TL/LT,21.79 TL/LT
02.12.2022,(KDV'li),20.19 TL/LT,22.52 TL/LT,22.47 TL/LT,22.8 TL/LT
03.12.2022,(KDV'li),20.2 TL/LT,23.68 TL/LT,23.63 TL/LT,22.8 TL/LT
06.12.2022,(KDV'li),20.2 TL/LT,23 TL/LT,22.95 TL/LT,22.8 TL/LT
08.12.2022,(KDV'li),18.15 TL/LT,21.12 TL/LT,21.07 TL/LT,20.48 TL/LT
09.12.2022,(KDV'li),18.15 TL/LT,21.12 TL/LT,21.07 TL/LT,20.48 TL/LT
10.12.2022,(KDV'li),17.43 TL/LT,21.12 TL/LT,21.07 TL/LT,20.48 TL/LT
13.12.2022,(KDV'li),17.44 TL/LT,21.12 TL/LT,21.07 TL/LT,20.48 TL/LT
16.12.2022,(KDV'li),18.52 TL/LT,21.12 TL/LT,21.07 TL/LT,20.48 TL/LT
17.12.2022,(KDV'li),18.52 TL/LT,22.82 TL/LT,22.77 TL/LT,22.27 TL/LT
20.12.2022,(KDV'li),17.93 TL/LT,22.05 TL/LT,22 TL/LT,21.51 TL/LT
22.12.2022,(KDV'li),17.97 TL/LT,22.08 TL/LT,22.03 TL/LT,21.51 TL/LT
23.12.2022,(KDV'li),18.63 TL/LT,22.08 TL/LT,22.03 TL/LT,21.51 TL/LT
24.12.2022,(KDV'li),18.63 TL/LT,22.08 TL/LT,22.03 TL/LT,21.51 TL/LT
27.12.2022,(KDV'li),18.63 TL/LT,22.08 TL/LT,22.03 TL/LT,21.51 TL/LT
31.12.2022,(KDV'li),19.47 TL/LT,22.08 TL/LT,22.03 TL/LT,21.51 TL/LT
